symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
EXIDEIND,0,1.01,257.45,251.7,254.25,254.47,257.24,260.22,262.99,251.49,248.72,245.74
FEDERALBNK,0,2.01,130.0,126.6,129.3,128.63,130.66,132.03,134.06,127.26,125.23,123.86
FSL,0,4.32,134.35,126.7,132.8,131.28,135.86,138.93,143.51,128.21,123.63,120.56
GAIL,0,1.76,110.6,107.5,110.0,109.37,111.24,112.47,114.34,108.14,106.27,105.04
GLENMARK,0,2.76,704.9,681.05,702.1,696.02,710.99,719.87,734.84,687.14,672.17,663.29
GNFC,0,1.26,595.15,581.95,593.8,590.3,598.65,603.5,611.85,585.45,577.1,572.25
GODREJCP,0,0.89,1069.4,1056.85,1062.95,1063.07,1069.29,1075.62,1081.84,1056.74,1050.52,1044.19
GODREJPROP,0,2.76,1678.0,1637.75,1666.1,1660.62,1683.49,1700.87,1723.74,1643.24,1620.37,1602.99
GRANULES,0,2.13,310.45,302.35,308.8,307.2,312.05,315.3,320.15,303.95,299.1,295.85
GRASIM,0,-0.38,1768.95,1743.65,1753.2,1755.27,1766.89,1780.57,1792.19,1741.59,1729.97,1716.29
GUJGASLTD,0,-0.62,467.4,459.45,460.2,462.35,465.25,470.3,473.2,457.3,454.4,449.35
HAVELLS,0,0.66,1283.3,1258.6,1280.75,1274.22,1289.84,1298.92,1314.54,1265.14,1249.52,1240.44
HCLTECH,0,3.8,1157.1,1111.55,1150.95,1139.87,1168.19,1185.42,1213.74,1122.64,1094.32,1077.09
HDFCAMC,0,2.16,2386.6,2328.7,2379.8,2365.03,2401.36,2422.93,2459.26,2343.46,2307.13,2285.56
HDFCBANK,0,0.21,1653.6,1635.0,1644.5,1644.37,1653.74,1662.97,1672.34,1635.14,1625.77,1616.54
HDFCLIFE,0,-1.55,684.8,660.55,670.05,671.8,683.05,696.05,707.3,658.8,647.55,634.55
HINDALCO,0,2.7,448.5,439.6,446.95,445.02,450.44,453.92,459.34,441.54,436.12,432.64
HINDCOPPER,0,2.43,121.25,117.9,120.1,119.75,121.6,123.1,124.95,118.25,116.4,114.9
HINDPETRO,0,0.21,290.5,283.5,287.4,287.13,290.76,294.13,297.76,283.76,280.13,276.76
HINDUNILVR,0,0.84,2686.5,2651.05,2676.9,2671.48,2691.91,2706.93,2727.36,2656.46,2636.03,2621.01
IBULHSGFIN,0,1.5,121.9,119.4,121.7,121.0,122.6,123.5,125.1,120.1,118.5,117.6
ICICIBANK,0,0.46,965.0,951.35,960.05,958.8,966.25,972.45,979.9,952.6,945.15,938.95
ICICIGI,0,1.43,1378.9,1351.45,1375.8,1368.72,1385.99,1396.17,1413.44,1358.54,1341.27,1331.09
ICICIPRULI,0,-1.73,605.65,581.6,587.85,591.7,601.8,615.75,625.85,577.75,567.65,553.7
IDFC,0,1.11,114.4,112.75,113.85,113.67,114.59,115.32,116.24,112.94,112.02,111.29
IDFCFIRSTB,0,1.41,82.75,81.2,82.5,82.15,83.1,83.7,84.65,81.55,80.6,80.0
IEX,0,1.77,124.0,120.7,123.75,122.82,124.94,126.12,128.24,121.64,119.52,118.34
IGL,0,0.96,489.95,481.1,487.65,486.23,491.36,495.08,500.21,482.51,477.38,473.66
INDHOTEL,0,0.57,391.85,384.55,389.65,388.68,392.81,395.98,400.11,385.51,381.38,378.21
INDIACEM,0,4.11,215.0,206.3,214.25,211.85,217.4,220.55,226.1,208.7,203.15,200.0
INDIAMART,0,3.66,2896.9,2734.5,2849.3,2826.9,2919.3,2989.3,3081.7,2756.9,2664.5,2594.5
INDIGO,0,-1.06,2703.75,2617.35,2657.95,2659.68,2702.01,2746.08,2788.41,2615.61,2573.28,2529.21
INDUSINDBK,0,0.05,1383.95,1367.0,1377.0,1375.98,1384.96,1392.93,1401.91,1368.01,1359.03,1351.06
INDUSTOWER,0,0.74,164.55,160.8,163.8,163.05,165.3,166.8,169.05,161.55,159.3,157.8
INFY,0,4.46,1430.0,1380.65,1425.95,1412.2,1443.75,1461.55,1493.1,1394.4,1362.85,1345.05
INTELLECT,1,5.77,644.5,608.05,640.85,631.13,654.21,667.58,690.66,617.76,594.68,581.31
IOC,0,0.42,97.65,95.8,96.6,96.68,97.56,98.53,99.41,95.71,94.83,93.86
IPCALAB,0,0.74,778.4,767.0,774.95,773.45,779.9,784.85,791.3,768.5,762.05,757.1
IRCTC,0,0.83,623.7,616.6,622.85,621.05,625.5,628.15,632.6,618.4,613.95,611.3
ITC,0,0.19,475.0,471.35,472.9,473.08,474.81,476.73,478.46,471.16,469.43,467.51
JINDALSTEL,0,1.27,645.0,634.0,641.6,640.2,646.4,651.2,657.4,635.4,629.2,624.4
JSWSTEEL,0,0.34,807.9,792.1,804.85,801.62,811.14,817.42,826.94,795.34,785.82,779.54
JUBLFOOD,0,-0.1,477.35,468.5,470.7,472.18,475.86,481.03,484.71,467.01,463.33,458.16
KOTAKBANK,0,-0.04,1887.35,1860.0,1869.0,1872.12,1884.24,1899.47,1911.59,1856.89,1844.77,1829.54
LALPATHLAB,0,0.06,2387.65,2350.0,2356.55,2364.73,2379.46,2402.38,2417.11,2341.81,2327.08,2304.16
LAURUSLABS,0,1.27,354.75,347.7,351.5,351.32,354.94,358.37,361.99,347.89,344.27,340.84
LICHSGFIN,0,1.43,393.1,388.0,392.5,391.2,394.4,396.3,399.5,389.3,386.1,384.2
LT,0,0.9,2477.05,2448.65,2472.25,2465.98,2483.31,2494.38,2511.71,2454.91,2437.58,2426.51
LUPIN,0,0.02,934.9,925.35,930.95,930.4,935.45,939.95,945.0,925.9,920.85,916.35
MANAPPURAM,0,3.48,128.85,122.6,127.95,126.47,130.34,132.72,136.59,124.09,120.22,117.84
MARICO,0,1.11,541.4,533.55,539.45,538.13,542.71,545.98,550.56,534.86,530.28,527.01
MCDOWELL-N,0,2.2,947.45,924.9,944.8,939.05,953.2,961.6,975.75,930.65,916.5,908.1
MCX,0,-0.88,1597.0,1550.8,1556.65,1568.15,1585.5,1614.35,1631.7,1539.3,1521.95,1493.1
METROPOLIS,0,0.74,1441.9,1418.75,1436.4,1432.35,1445.95,1455.5,1469.1,1422.8,1409.2,1399.65
MFSL,0,0.21,830.1,821.25,825.3,825.55,829.85,834.4,838.7,821.0,816.7,812.15
MGL,0,-0.24,1087.7,1073.55,1082.0,1081.08,1088.61,1095.23,1102.76,1074.46,1066.93,1060.31
MOTHERSON,0,1.1,96.25,95.25,96.1,95.87,96.49,96.87,97.49,95.49,94.87,94.49
MPHASIS,1,7.67,2079.0,1935.0,2069.55,2027.85,2120.7,2171.85,2264.7,1976.7,1883.85,1832.7
MUTHOOTFIN,0,2.34,1309.85,1289.45,1307.75,1302.35,1315.25,1322.75,1335.65,1294.85,1281.95,1274.45
NATIONALUM,1,5.62,89.6,85.15,89.3,88.02,90.89,92.47,95.34,86.44,83.57,81.99
NMDC,0,1.39,113.2,111.1,113.0,112.43,113.76,114.53,115.86,111.66,110.33,109.56
NTPC,0,-0.24,188.35,184.75,187.45,186.85,188.95,190.45,192.55,185.35,183.25,181.75
OBEROIRLTY,0,3.08,1065.85,1027.5,1060.25,1051.2,1074.9,1089.55,1113.25,1036.55,1012.85,998.2
ONGC,0,0.86,169.75,168.2,169.25,169.07,169.94,170.62,171.49,168.39,167.52,166.84
PEL,0,2.21,1004.0,975.3,995.3,991.53,1007.76,1020.23,1036.46,979.06,962.83,950.36
PETRONET,0,2.25,230.9,224.55,229.55,228.33,232.11,234.68,238.46,225.76,221.98,219.41
PFC,0,-0.02,226.4,222.9,224.6,224.63,226.36,228.13,229.86,222.86,221.13,219.36
PIDILITIND,0,0.2,2628.3,2595.0,2623.5,2615.6,2636.2,2648.9,2669.5,2602.9,2582.3,2569.6
PNB,0,2.71,61.0,59.1,60.7,60.27,61.44,62.17,63.34,59.54,58.37,57.64
POWERGRID,0,-1.25,244.4,236.7,240.05,240.38,244.06,248.08,251.76,236.36,232.68,228.66
PVRINOX,0,1.01,1426.8,1385.5,1416.75,1409.68,1433.86,1450.98,1475.16,1392.56,1368.38,1351.26
RAIN,0,0.4,166.0,163.8,164.8,164.87,165.94,167.07,168.14,163.74,162.67,161.54
RAMCOCEM,0,-0.29,941.85,920.2,926.15,929.4,938.6,951.05,960.25,916.95,907.75,895.3
RBLBANK,1,6.95,213.45,197.85,211.6,207.63,217.41,223.23,233.01,201.81,192.03,186.21
RECLTD,0,-3.02,162.3,159.5,160.3,160.7,161.9,163.5,164.7,159.1,157.9,156.3
RELIANCE,0,-0.08,2760.9,2725.1,2740.7,2742.23,2759.36,2778.03,2795.16,2723.56,2706.43,2687.76
SAIL,0,1.56,91.75,90.0,91.25,91.0,92.0,92.75,93.75,90.25,89.25,88.5
SBICARD,0,0.48,846.9,834.5,839.8,840.4,846.3,852.8,858.7,833.9,828.0,821.5
SBILIFE,0,0.48,1326.05,1311.35,1320.3,1319.23,1327.11,1333.93,1341.81,1312.41,1304.53,1297.71
SBIN,0,-0.21,591.3,580.7,584.4,585.47,590.24,596.07,600.84,579.64,574.87,569.04
SHRIRAMFIN,0,-0.29,1811.35,1772.65,1783.9,1789.3,1805.95,1828.0,1844.65,1767.25,1750.6,1728.55
SRF,0,0.65,2206.8,2178.05,2187.5,2190.78,2203.51,2219.53,2232.26,2174.76,2162.03,2146.01
SUNPHARMA,0,-0.25,1080.0,1065.0,1072.95,1072.65,1080.3,1087.65,1095.3,1065.3,1057.65,1050.3
SUNTV,0,2.68,496.75,476.6,494.55,489.3,502.0,509.45,522.15,481.85,469.15,461.7
SYNGENE,0,1.3,779.75,761.2,777.35,772.77,784.34,791.32,802.89,765.79,754.22,747.24
TATACHEM,0,0.67,990.6,977.0,983.5,983.7,990.4,997.3,1004.0,976.8,970.1,963.2
TATACOMM,0,2.46,1637.0,1585.0,1623.45,1615.15,1645.3,1667.15,1697.3,1593.3,1563.15,1541.3
TATACONSUM,0,1.69,852.75,833.6,851.5,845.95,858.3,865.1,877.45,839.15,826.8,820.0
TATAMOTORS,0,0.68,626.0,619.5,624.9,623.47,627.44,629.97,633.94,620.94,616.97,614.44
TATAPOWER,0,-0.36,222.75,218.55,221.05,220.78,223.01,224.98,227.21,218.81,216.58,214.61
TATASTEEL,0,2.0,117.9,114.8,117.15,116.62,118.44,119.72,121.54,115.34,113.52,112.24
TECHM,0,4.54,1232.0,1183.0,1228.65,1214.55,1246.1,1263.55,1295.1,1197.1,1165.55,1148.1
TORNTPHARM,0,0.77,1949.0,1916.4,1945.2,1936.87,1957.34,1969.47,1989.94,1924.74,1904.27,1892.14
TORNTPOWER,0,-0.27,618.45,608.5,610.45,612.47,616.44,622.42,626.39,606.49,602.52,596.54
TRENT,0,1.3,1693.75,1657.45,1687.65,1679.62,1701.79,1715.92,1738.09,1665.49,1643.32,1629.19
TVSMOTOR,0,1.58,1352.9,1322.65,1350.75,1342.1,1361.55,1372.35,1391.8,1331.3,1311.85,1301.05
UBL,0,0.61,1514.8,1495.1,1510.35,1506.75,1518.4,1526.45,1538.1,1498.7,1487.05,1479.0
UPL,0,1.35,640.1,631.5,639.55,637.05,642.6,645.65,651.2,634.0,628.45,625.4
VEDL,0,2.45,286.4,278.75,284.85,283.33,287.91,290.98,295.56,280.26,275.68,272.61
VOLTAS,0,0.78,755.3,745.0,754.7,751.67,758.34,761.97,768.64,748.04,741.37,737.74
WHIRLPOOL,0,0.15,1449.1,1430.05,1437.1,1438.75,1447.45,1457.8,1466.5,1428.4,1419.7,1409.35
WIPRO,0,2.73,405.5,392.35,405.05,400.97,409.59,414.12,422.74,396.44,387.82,383.29
ZEEL,1,8.6,217.4,196.1,216.0,209.83,223.56,231.13,244.86,202.26,188.53,180.96
ZYDUSLIFE,0,0.66,597.9,589.1,595.35,594.12,599.14,602.92,607.94,590.34,585.32,581.54
FORTIS,0,-1.0,329.0,324.2,327.05,326.75,329.3,331.55,334.1,324.5,321.95,319.7
GLAND,0,2.8,1147.0,1109.0,1136.75,1130.92,1152.84,1168.92,1190.84,1114.84,1092.92,1076.84
HINDZINC,0,-0.65,329.0,324.05,328.55,327.2,330.35,332.15,335.3,325.4,322.25,320.45
INDIANB,0,0.78,325.0,315.9,324.35,321.75,327.6,330.85,336.7,318.5,312.65,309.4
PRESTIGE,0,-0.63,582.9,561.15,563.95,569.33,577.51,591.08,599.26,555.76,547.58,534.01
UNIONBANK,0,0.25,81.95,79.85,81.05,80.95,82.05,83.05,84.15,79.95,78.85,77.85
VBL,0,0.0,847.55,818.6,832.85,833.0,847.4,861.95,876.35,818.45,804.05,789.5
SONACOMS,0,0.89,552.0,543.25,547.25,547.5,551.75,556.25,560.5,543.0,538.75,534.25
