symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0,1.12,454.2,445.9,453.3,451.13,456.36,459.43,464.66,448.06,442.83,439.76
ABCAPITAL,0,0.88,191.9,187.1,189.1,189.37,191.64,194.17,196.44,186.84,184.57,182.04
ABFRL,0,-0.78,218.0,214.25,214.9,215.72,217.19,219.47,220.94,213.44,211.97,209.69
ACC,0,0.4,1782.25,1770.25,1777.5,1776.67,1783.09,1788.67,1795.09,1771.09,1764.67,1759.09
ADANIENT,0,0.59,2385.0,2340.0,2376.1,2367.03,2394.06,2412.03,2439.06,2349.06,2322.03,2304.06
ADANIPORTS,0,1.24,727.45,714.7,726.1,722.75,730.8,735.5,743.55,718.05,710.0,705.3
AMARAJABAT,0,-0.44,691.15,682.0,684.65,685.93,689.86,695.08,699.01,680.71,676.78,671.56
AMBUJACEM,0,-0.07,419.2,414.05,416.6,416.62,419.19,421.77,424.34,414.04,411.47,408.89
APOLLOTYRE,0,-2.06,424.45,413.45,415.8,417.9,422.35,428.9,433.35,411.35,406.9,400.35
ASHOKLEY,0,0.85,172.0,168.3,171.75,170.68,173.06,174.38,176.76,169.36,166.98,165.66
ASTRAL,0,0.2,1860.85,1838.1,1849.85,1849.6,1861.1,1872.35,1883.85,1838.35,1826.85,1815.6
AUBANK,0,2.77,782.5,759.2,781.25,774.32,789.44,797.62,812.74,766.14,751.02,742.84
AUROPHARMA,0,2.01,742.95,723.4,738.95,735.1,746.8,754.65,766.35,727.25,715.55,707.7
AXISBANK,0,-0.32,967.0,947.75,957.05,957.27,966.79,976.52,986.04,947.54,938.02,928.29
BAJAJFINSV,0,-0.06,1635.0,1604.25,1614.2,1617.82,1631.39,1648.57,1662.14,1600.64,1587.07,1569.89
BALKRISIND,0,1.94,2439.95,2387.6,2434.35,2420.63,2453.66,2472.98,2506.01,2401.31,2368.28,2348.96
BALRAMCHIN,0,1.58,381.45,374.25,380.5,378.73,383.21,385.93,390.41,376.01,371.53,368.81
BANDHANBNK,0,2.69,223.0,214.2,221.6,219.6,225.0,228.4,233.8,216.2,210.8,207.4
BANKBARODA,0,0.71,200.05,195.05,198.4,197.83,200.61,202.83,205.61,195.61,192.83,190.61
BATAINDIA,0,1.32,1683.9,1648.3,1681.1,1671.1,1693.9,1706.7,1729.5,1658.3,1635.5,1622.7
BEL,0,1.31,127.5,124.1,127.15,126.25,128.4,129.65,131.8,125.0,122.85,121.6
BERGEPAINT,0,1.0,671.95,654.75,668.1,664.93,675.11,682.13,692.31,657.91,647.73,640.71
BHARATFORG,0,1.06,869.0,855.35,867.2,863.85,872.35,877.5,886.0,858.7,850.2,845.05
BHARTIARTL,0,0.16,890.25,879.65,886.5,885.47,891.29,896.07,901.89,880.69,874.87,870.09
BHEL,0,0.33,92.9,91.05,92.1,92.02,92.99,93.87,94.84,91.14,90.17,89.29
BIOCON,0,1.96,263.4,256.15,262.2,260.58,265.01,267.83,272.26,257.76,253.33,250.51
BPCL,0,0.0,381.75,375.6,379.55,378.97,382.34,385.12,388.49,376.19,372.82,370.04
BSOFT,1,4.92,381.0,362.6,379.7,374.43,386.26,392.83,404.66,367.86,356.03,349.46
CANBK,0,1.52,328.7,322.0,326.6,325.77,329.54,332.47,336.24,322.84,319.07,316.14
CANFINHOME,0,1.29,811.95,791.05,802.4,801.8,812.55,822.7,833.45,791.65,780.9,770.75
CHAMBLFERT,0,0.41,267.95,263.55,266.3,265.93,268.31,270.33,272.71,263.91,261.53,259.51
CHOLAFIN,0,1.18,1175.0,1152.75,1164.35,1164.03,1175.31,1186.28,1197.56,1153.06,1141.78,1130.81
CIPLA,0,1.0,1034.8,1019.35,1030.9,1028.35,1037.35,1043.8,1052.8,1021.9,1012.9,1006.45
COALINDIA,0,0.5,232.1,229.75,231.05,230.97,232.19,233.32,234.54,229.84,228.62,227.49
COLPAL,0,1.62,1840.0,1806.4,1836.65,1827.68,1848.96,1861.28,1882.56,1815.36,1794.08,1781.76
CONCOR,0,1.54,690.0,677.25,688.8,685.35,693.45,698.1,706.2,680.7,672.6,667.95
COROMANDEL,0,0.96,947.85,921.25,944.1,937.73,954.21,964.33,980.81,927.61,911.13,901.01
CROMPTON,0,0.91,293.75,289.35,292.4,291.83,294.31,296.23,298.71,289.91,287.43,285.51
CUB,0,1.19,128.95,126.6,127.8,127.78,128.96,130.13,131.31,126.61,125.43,124.26
CUMMINSIND,0,1.38,1923.0,1892.65,1918.4,1911.35,1930.05,1941.7,1960.4,1899.7,1881.0,1869.35
DABUR,0,1.52,588.0,576.8,586.5,583.77,590.74,594.97,601.94,579.54,572.57,568.34
DALBHARAT,0,-0.09,2081.35,2048.45,2056.15,2061.98,2075.51,2094.88,2108.41,2042.61,2029.08,2009.71
DEEPAKNTR,0,0.95,1946.0,1916.3,1943.8,1935.37,1954.44,1965.07,1984.14,1924.74,1905.67,1895.04
DELTACORP,0,2.48,186.3,179.05,184.0,183.12,187.19,190.37,194.44,179.94,175.87,172.69
DLF,0,0.22,496.5,491.2,493.15,493.62,496.04,498.92,501.34,490.74,488.32,485.44
ESCORTS,0,2.57,2392.0,2317.0,2376.75,2361.92,2406.84,2436.92,2481.84,2331.84,2286.92,2256.84
