symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
ABFRL,1,5.02,212.0,200.3,210.35,207.55,214.8,219.25,226.5,203.1,195.85,191.4
LAURUSLABS,1,4.86,361.4,343.15,360.1,354.88,366.61,373.13,384.86,348.36,336.63,330.11
OFSS,1,5.61,3840.0,3613.3,3797.5,3750.27,3887.24,3976.97,4113.94,3660.54,3523.57,3433.84
TATACOMM,1,8.11,1615.1,1476.05,1598.4,1563.18,1650.31,1702.23,1789.36,1511.26,1424.13,1372.21
TRENT,1,5.66,1694.75,1598.3,1685.65,1659.57,1720.84,1756.02,1817.29,1624.39,1563.12,1527.94
