symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
INDIACEM,1,5.05,233.4,222.0,233.2,229.53,237.06,240.93,248.46,225.66,218.13,214.26
INDIAMART,-1,-49.39,5917.8,2965.0,2994.95,3959.25,4953.5,6912.05,7906.3,2000.7,1006.45,-952.1
LUPIN,1,5.41,885.3,829.05,874.8,863.05,897.05,919.3,953.3,840.8,806.8,784.55
MFSL,1,5.41,755.0,703.0,741.0,733.0,763.0,785.0,815.0,711.0,681.0,659.0
PEL,1,13.96,970.7,840.0,957.3,922.67,1005.34,1053.37,1136.04,874.64,791.97,743.94
SHRIRAMFIN,1,11.26,1793.55,1556.8,1732.1,1694.15,1831.5,1930.9,2068.25,1594.75,1457.4,1358.0
