symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
BHARTIARTL,0,0.33,862.75,841.35,854.8,852.97,864.59,874.37,885.99,843.19,831.57,821.79
BHEL,0,1.01,85.5,83.35,84.65,84.5,85.65,86.65,87.8,83.5,82.35,81.35
BIOCON,0,-1.27,239.3,234.8,236.9,237.0,239.2,241.5,243.7,234.7,232.5,230.2
BPCL,0,0.36,371.0,358.3,359.6,362.97,367.64,375.67,380.34,354.94,350.27,342.24
BSOFT,0,1.04,350.0,339.8,343.7,344.5,349.2,354.7,359.4,339.0,334.3,328.8
CANBK,0,0.9,301.7,294.6,296.4,297.57,300.54,304.67,307.64,293.44,290.47,286.34
CANFINHOME,0,-0.78,738.5,720.55,736.6,731.88,743.21,749.83,761.16,725.26,713.93,707.31
CHAMBLFERT,0,-1.72,273.95,267.05,267.9,269.63,272.21,276.53,279.11,265.31,262.73,258.41
CHOLAFIN,0,1.16,1106.05,1077.35,1090.15,1091.18,1105.01,1119.88,1133.71,1076.31,1062.48,1047.61
CIPLA,0,-3.18,999.95,985.65,989.4,991.67,997.69,1005.97,1011.99,983.39,977.37,969.09
COALINDIA,0,0.71,227.55,224.8,225.9,226.08,227.36,228.83,230.11,224.61,223.33,221.86
COLPAL,0,-2.16,1643.85,1625.6,1631.4,1633.62,1641.64,1651.87,1659.89,1623.39,1615.37,1605.14
CONCOR,0,-1.14,649.8,633.05,642.4,641.75,650.45,658.5,667.2,633.7,625.0,616.95
COROMANDEL,0,-0.87,957.25,916.0,928.25,933.83,951.66,975.08,992.91,910.41,892.58,869.16
CROMPTON,0,0.38,291.0,281.45,289.3,287.25,293.05,296.8,302.6,283.5,277.7,273.95
CUB,0,-1.84,124.25,119.5,119.9,121.22,122.94,125.97,127.69,118.19,116.47,113.44
CUMMINSIND,0,-1.29,1855.5,1807.1,1846.7,1836.43,1865.76,1884.83,1914.16,1817.36,1788.03,1768.96
DABUR,0,-1.09,565.75,556.0,563.35,561.7,567.4,571.45,577.15,557.65,551.95,547.9
DALBHARAT,0,-1.35,2198.55,2162.95,2167.4,2176.3,2189.65,2211.9,2225.25,2154.05,2140.7,2118.45
DEEPAKNTR,0,-0.94,2282.1,2196.05,2211.7,2229.95,2263.85,2316.0,2349.9,2177.8,2143.9,2091.75
DELTACORP,0,-0.96,242.0,231.0,238.15,237.05,243.1,248.05,254.1,232.1,226.05,221.1
DLF,0,0.12,481.6,473.0,477.7,477.43,481.86,486.03,490.46,473.26,468.83,464.66
ESCORTS,0,-2.03,2160.05,2117.2,2155.9,2144.38,2171.56,2187.23,2214.41,2128.71,2101.53,2085.86
EXIDEIND,0,-0.02,235.65,224.2,232.5,230.78,237.36,242.23,248.81,225.91,219.33,214.46
FEDERALBNK,0,0.7,123.75,121.75,122.15,122.55,123.35,124.55,125.35,121.35,120.55,119.35
FSL,0,-1.09,129.5,126.55,127.05,127.7,128.85,130.65,131.8,125.9,124.75,122.95
GAIL,0,0.24,105.4,103.3,105.05,104.58,105.86,106.68,107.96,103.76,102.48,101.66
GLENMARK,0,-1.92,638.5,622.05,633.0,631.18,640.31,647.63,656.76,623.86,614.73,607.41
GNFC,0,-0.67,589.7,572.0,574.75,578.82,585.64,596.52,603.34,567.94,561.12,550.24
GODREJCP,0,0.35,1044.45,1031.6,1035.95,1037.33,1043.06,1050.18,1055.91,1030.21,1024.48,1017.36
GODREJPROP,0,-2.36,1519.65,1478.7,1499.45,1499.27,1519.84,1540.22,1560.79,1478.89,1458.32,1437.94
GRANULES,0,-1.46,290.65,281.35,287.0,286.33,291.31,295.63,300.61,282.01,277.03,272.71
GRASIM,0,-0.62,1749.95,1711.2,1716.1,1725.75,1740.3,1764.5,1779.05,1701.55,1687.0,1662.8
GUJGASLTD,0,-0.91,469.9,460.75,461.95,464.2,467.65,473.35,476.8,458.5,455.05,449.35
HAVELLS,0,-0.42,1326.85,1278.2,1284.95,1296.67,1315.14,1345.32,1363.79,1266.49,1248.02,1217.84
HCLTECH,0,-0.2,1170.55,1151.0,1165.15,1162.23,1173.46,1181.78,1193.01,1153.91,1142.68,1134.36
HDFC,0,0.1,2742.7,2700.55,2723.15,2722.13,2743.71,2764.28,2785.86,2701.56,2679.98,2659.41
HDFCAMC,0,0.48,2025.95,1995.0,2016.1,2012.35,2029.7,2043.3,2060.65,1998.75,1981.4,1967.8
HDFCBANK,0,0.49,1659.9,1634.05,1643.5,1645.82,1657.59,1671.67,1683.44,1631.74,1619.97,1605.89
HDFCLIFE,0,-0.53,643.0,623.8,626.9,631.23,638.66,650.43,657.86,619.46,612.03,600.26
HINDALCO,0,-1.5,416.95,407.45,408.5,410.97,414.49,420.47,423.99,404.99,401.47,395.49
HINDCOPPER,0,-1.64,116.0,112.25,114.05,114.1,115.95,117.85,119.7,112.2,110.35,108.45
HINDPETRO,0,-0.63,274.75,265.0,269.45,269.73,274.46,279.48,284.21,264.71,259.98,254.96
HINDUNILVR,0,-0.4,2660.55,2627.45,2641.6,2643.2,2658.95,2676.3,2692.05,2625.85,2610.1,2592.75
IBULHSGFIN,0,0.91,117.5,113.6,116.35,115.82,118.04,119.72,121.94,114.14,111.92,110.24
ICICIBANK,0,-0.43,931.9,919.0,923.5,924.8,930.6,937.7,943.5,917.7,911.9,904.8
ICICIGI,0,-0.55,1280.7,1260.1,1274.4,1271.73,1283.36,1292.33,1303.96,1262.76,1251.13,1242.16
ICICIPRULI,0,-1.4,567.9,554.4,556.15,559.48,564.56,572.98,578.06,551.06,545.98,537.56
IDFC,0,-1.7,100.75,97.45,98.3,98.83,100.21,102.13,103.51,96.91,95.53,93.61
IDFCFIRSTB,0,0.0,79.15,75.55,77.75,77.48,79.41,81.08,83.01,75.81,73.88,72.21
IEX,0,-1.74,128.9,124.75,127.2,126.95,129.15,131.1,133.3,125.0,122.8,120.85
IGL,0,-1.39,489.05,474.3,476.5,479.95,485.6,494.7,500.35,470.85,465.2,456.1
INDHOTEL,0,-0.83,386.55,378.45,380.4,381.8,385.15,389.9,393.25,377.05,373.7,368.95
INDIACEM,0,-1.69,218.65,209.0,209.7,212.45,215.9,222.1,225.55,206.25,202.8,196.6
INDIAMART,0,1.12,2938.6,2885.0,2905.5,2909.7,2934.4,2963.3,2988.0,2880.8,2856.1,2827.2
INDIGO,0,0.41,2508.95,2462.0,2475.05,2482.0,2502.0,2528.95,2548.95,2455.05,2435.05,2408.1
INDUSINDBK,0,-0.48,1318.0,1262.0,1308.7,1296.23,1330.46,1352.23,1386.46,1274.46,1240.23,1218.46
INDUSTOWER,0,-2.09,164.9,160.65,161.9,162.48,164.31,166.73,168.56,160.06,158.23,155.81
INFY,0,-0.42,1279.35,1263.35,1265.0,1269.23,1275.11,1285.23,1291.11,1259.11,1253.23,1243.11
INTELLECT,0,-2.17,602.25,591.3,596.45,596.67,602.04,607.62,612.99,591.09,585.72,580.14
IOC,0,-0.28,92.4,88.85,89.3,90.18,91.51,93.73,95.06,87.96,86.63,84.41
IPCALAB,0,-1.8,733.75,723.05,727.2,728.0,732.95,738.7,743.65,722.25,717.3,711.55
IRCTC,0,-0.74,646.0,625.6,627.8,633.13,640.66,653.53,661.06,620.26,612.73,599.86
ITC,0,-0.21,447.65,442.7,444.75,445.03,447.36,449.98,452.31,442.41,440.08,437.46
JINDALSTEL,0,0.2,581.4,567.1,568.85,572.45,577.8,586.75,592.1,563.5,558.15,549.2
JSWSTEEL,0,-0.31,758.7,743.85,746.5,749.68,755.51,764.53,770.36,740.66,734.83,725.81
JUBLFOOD,0,-1.61,496.9,477.15,478.85,484.3,491.45,504.05,511.2,471.7,464.55,451.95
KOTAKBANK,0,0.31,1845.55,1823.9,1828.55,1832.67,1841.44,1854.32,1863.09,1819.79,1811.02,1798.14
LALPATHLAB,0,-2.62,2181.7,2099.0,2109.85,2130.18,2161.36,2212.88,2244.06,2078.66,2047.48,1995.96
LAURUSLABS,0,-3.12,357.65,349.05,350.65,352.45,355.85,361.05,364.45,347.25,343.85,338.65
LICHSGFIN,0,-0.54,405.85,387.0,389.65,394.17,401.34,413.02,420.19,382.49,375.32,363.64
LT,0,0.5,2427.0,2383.25,2389.55,2399.93,2416.61,2443.68,2460.36,2372.86,2356.18,2329.11
LUPIN,0,-1.8,865.8,846.3,858.25,856.78,867.26,876.28,886.76,847.76,837.28,828.26
MANAPPURAM,0,-1.59,125.95,122.85,123.8,124.2,125.55,127.3,128.65,122.45,121.1,119.35
MARICO,0,-0.04,529.9,522.3,528.5,526.9,531.5,534.5,539.1,523.9,519.3,516.3
MCDOWELL-N,0,0.62,909.0,888.35,906.6,901.32,914.29,921.97,934.94,893.64,880.67,872.99
MCX,0,-4.12,1625.8,1517.1,1566.05,1569.65,1622.2,1678.35,1730.9,1513.5,1460.95,1404.8
METROPOLIS,0,-3.3,1438.45,1376.05,1386.0,1400.17,1424.29,1462.57,1486.69,1361.89,1337.77,1299.49
MFSL,0,0.21,782.45,744.15,747.4,758.0,771.85,796.3,810.15,733.55,719.7,695.25
MGL,0,-1.24,1040.0,1013.5,1016.55,1023.35,1033.2,1049.85,1059.7,1006.7,996.85,980.2
MOTHERSON,0,-2.06,84.7,81.35,83.1,83.05,84.75,86.4,88.1,81.4,79.7,78.05
MPHASIS,0,0.94,1857.0,1826.3,1831.05,1838.12,1849.94,1868.82,1880.64,1819.24,1807.42,1788.54
MUTHOOTFIN,0,-1.28,1227.0,1195.05,1221.85,1214.63,1234.21,1246.58,1266.16,1202.26,1182.68,1170.31
NATIONALUM,0,-1.33,83.5,81.15,81.4,82.02,82.89,84.37,85.24,80.54,79.67,78.19
NMDC,0,-0.1,105.7,104.4,104.7,104.93,105.46,106.23,106.76,104.16,103.63,102.86
NTPC,0,0.97,187.5,183.75,186.7,185.98,188.21,189.73,191.96,184.46,182.23,180.71
OBEROIRLTY,0,0.17,1007.75,977.0,983.95,989.57,1002.14,1020.32,1032.89,971.39,958.82,940.64
ONGC,0,0.0,159.0,155.4,156.9,157.1,158.8,160.7,162.4,155.2,153.5,151.6
PEL,0,-0.19,928.95,876.7,882.25,895.97,915.24,948.22,967.49,862.99,843.72,810.74
PETRONET,0,-0.7,223.0,218.5,218.8,220.1,221.7,224.6,226.2,217.2,215.6,212.7
PFC,0,0.15,204.0,198.85,200.15,201.0,203.15,206.15,208.3,198.0,195.85,192.85
PIDILITIND,0,1.04,2683.6,2636.0,2658.3,2659.3,2682.6,2706.9,2730.2,2635.0,2611.7,2587.4
PNB,0,0.4,50.9,50.15,50.5,50.52,50.89,51.27,51.64,50.14,49.77,49.39
POWERGRID,0,0.64,254.65,249.55,250.1,251.43,253.31,256.53,258.41,248.21,246.33,243.11
PVRINOX,0,0.49,1390.35,1366.6,1381.7,1379.55,1392.5,1403.3,1416.25,1368.75,1355.8,1345.0
RAIN,0,-3.94,166.95,162.2,163.45,164.2,166.2,168.95,170.95,161.45,159.45,156.7
RAMCOCEM,0,-0.43,937.65,917.6,930.2,928.48,939.36,948.53,959.41,919.31,908.43,899.26
RBLBANK,0,0.33,167.9,164.55,166.5,166.32,168.09,169.67,171.44,164.74,162.97,161.39
RECLTD,0,-0.16,160.9,155.45,156.0,157.45,159.45,162.9,164.9,154.0,152.0,148.55
RELIANCE,0,0.77,2533.4,2512.0,2514.75,2520.05,2528.1,2541.45,2549.5,2506.7,2498.65,2485.3
SAIL,0,-0.06,85.35,83.8,84.4,84.52,85.24,86.07,86.79,83.69,82.97,82.14
SBICARD,0,1.45,879.0,854.25,857.1,863.45,872.65,888.2,897.4,847.9,838.7,823.15
SBILIFE,0,-0.29,1274.9,1260.5,1262.7,1266.03,1271.56,1280.43,1285.96,1257.16,1251.63,1242.76
SBIN,0,-0.44,562.1,553.8,554.6,556.83,559.86,565.13,568.16,551.56,548.53,543.26
SHRIRAMFIN,0,-1.57,1708.55,1641.85,1676.65,1675.68,1709.51,1742.38,1776.21,1642.81,1608.98,1576.11
SRF,0,-0.74,2379.25,2305.1,2321.4,2335.25,2365.4,2409.4,2439.55,2291.25,2261.1,2217.1
SUNPHARMA,0,-0.35,995.95,977.3,991.45,988.23,999.16,1006.88,1017.81,980.51,969.58,961.86
SUNTV,0,-0.19,446.8,426.1,427.75,433.55,441.0,454.25,461.7,420.3,412.85,399.6
SYNGENE,0,0.07,728.95,717.05,727.45,724.48,731.91,736.38,743.81,720.01,712.58,708.11
TATACHEM,0,-1.4,1009.0,976.4,980.05,988.48,1000.56,1021.08,1033.16,967.96,955.88,935.36
TATACOMM,0,-0.53,1589.7,1555.55,1560.85,1568.7,1581.85,1602.85,1616.0,1547.7,1534.55,1513.55
TATACONSUM,0,-2.52,846.2,831.65,840.85,839.57,847.49,854.12,862.04,832.94,825.02,818.39
TATAMOTORS,0,-1.44,571.15,557.7,559.65,562.83,567.96,576.28,581.41,554.51,549.38,541.06
TATAPOWER,0,-0.14,222.1,215.7,218.3,218.7,221.7,225.1,228.1,215.3,212.3,208.9
TATASTEEL,0,-0.23,110.75,109.2,109.6,109.85,110.5,111.4,112.05,108.95,108.3,107.4
TECHM,0,0.32,1118.0,1094.05,1115.5,1109.18,1124.31,1133.13,1148.26,1100.36,1085.23,1076.41
TITAN,0,-1.13,2981.0,2932.0,2939.15,2950.72,2969.44,2999.72,3018.44,2920.44,2901.72,2871.44
TORNTPHARM,0,-0.25,1870.0,1795.0,1863.05,1842.68,1890.36,1917.68,1965.36,1815.36,1767.68,1740.36
TORNTPOWER,0,1.47,662.95,636.05,640.75,646.58,657.11,673.48,684.01,630.21,619.68,603.31
TRENT,0,-1.64,1743.9,1694.7,1724.95,1721.18,1747.66,1770.38,1796.86,1698.46,1671.98,1649.26
TVSMOTOR,0,0.84,1329.95,1295.3,1301.25,1308.83,1322.36,1343.48,1357.01,1287.71,1274.18,1253.06
UBL,0,-0.41,1515.0,1482.0,1490.15,1495.72,1509.44,1528.72,1542.44,1476.44,1462.72,1443.44
UPL,0,-1.82,675.75,665.5,666.85,669.37,673.24,679.62,683.49,662.99,659.12,652.74
VEDL,0,-1.29,280.85,275.9,276.2,277.65,279.4,282.6,284.35,274.45,272.7,269.5
VOLTAS,0,-0.94,777.5,748.5,750.5,758.83,769.16,787.83,798.16,740.16,729.83,711.16
WHIRLPOOL,0,-0.19,1461.6,1435.0,1451.6,1449.4,1463.8,1476.0,1490.4,1437.2,1422.8,1410.6
WIPRO,0,-0.25,383.0,378.1,379.95,380.35,382.6,385.25,387.5,377.7,375.45,372.8
ZEEL,0,-0.67,180.9,175.8,176.65,177.78,179.76,182.88,184.86,174.66,172.68,169.56
ZYDUSLIFE,0,-0.84,561.3,547.9,557.1,555.43,562.96,568.83,576.36,549.56,542.03,536.16
FORTIS,0,0.66,309.8,302.65,304.8,305.75,308.85,312.9,316.0,301.7,298.6,294.55
GLAND,0,-4.02,1004.95,971.0,980.0,985.32,999.64,1019.27,1033.59,965.69,951.37,931.74
HINDZINC,0,0.47,313.6,308.0,308.45,310.02,312.04,315.62,317.64,306.44,304.42,300.84
INDIANB,0,-1.65,280.45,275.6,277.5,277.85,280.1,282.7,284.95,275.25,273.0,270.4
PRESTIGE,0,-0.29,580.0,569.4,576.7,575.37,581.34,585.97,591.94,570.74,564.77,560.14
UNIONBANK,0,0.44,70.2,68.7,68.95,69.28,69.86,70.78,71.36,68.36,67.78,66.86
VBL,0,-4.14,805.8,763.6,766.1,778.5,793.4,820.7,835.6,751.2,736.3,709.0
SONACOMS,0,-1.83,516.9,505.3,506.9,509.7,514.1,521.3,525.7,502.5,498.1,490.9
