symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
AARTIIND,0,-1.04,524.25,501.0,502.8,509.35,517.7,532.6,540.95,494.45,486.1,471.2
ABCAPITAL,0,-3.45,175.9,168.0,175.0,172.97,177.94,180.87,185.84,170.04,165.07,162.14
ABFRL,0,-2.09,210.15,203.0,203.95,205.7,208.4,212.85,215.55,201.25,198.55,194.1
ACC,0,-1.42,1830.55,1760.7,1766.9,1786.05,1811.4,1855.9,1881.25,1741.55,1716.2,1671.7
ADANIENT,0,-2.7,2392.3,2163.3,2233.55,2263.05,2362.8,2492.05,2591.8,2133.8,2034.05,1904.8
ADANIPORTS,0,-1.39,741.0,703.0,714.3,719.43,735.86,757.43,773.86,697.86,681.43,659.86
AMARAJABAT,0,-1.59,636.9,625.0,635.05,632.32,639.64,644.22,651.54,627.74,620.42,615.84
AMBUJACEM,0,-1.45,445.0,424.0,425.8,431.6,439.2,452.6,460.2,418.2,410.6,397.2
APOLLOTYRE,0,3.01,420.65,410.45,415.9,415.67,420.89,425.87,431.09,410.69,405.47,400.49
ASHOKLEY,0,-1.61,164.25,159.65,161.6,161.83,164.01,166.43,168.61,159.41,157.23,154.81
ASTRAL,0,0.92,1972.0,1927.4,1960.5,1953.3,1979.2,1997.9,2023.8,1934.6,1908.7,1890.0
AUBANK,0,-1.17,745.7,734.1,736.7,738.83,743.56,750.43,755.16,731.96,727.23,720.36
AUROPHARMA,0,-3.08,701.0,665.75,699.15,688.63,711.51,723.88,746.76,676.26,653.38,641.01
AXISBANK,0,-0.22,965.5,954.55,958.4,959.48,964.41,970.43,975.36,953.46,948.53,942.51
BAJAJFINSV,0,-0.37,1519.7,1483.95,1501.95,1501.87,1519.79,1537.62,1555.54,1484.04,1466.12,1448.29
BALKRISIND,0,0.33,2455.4,2385.75,2397.05,2412.73,2439.71,2482.38,2509.36,2370.06,2343.08,2300.41
BALRAMCHIN,0,0.7,411.7,388.65,390.65,397.0,405.35,420.05,428.4,382.3,373.95,359.25
BANDHANBNK,0,-0.34,243.4,234.9,235.75,238.02,241.14,246.52,249.64,232.64,229.52,224.14
BANKBARODA,0,0.76,194.15,190.55,192.2,192.3,194.05,195.9,197.65,190.45,188.7,186.85
BATAINDIA,0,-1.08,1636.5,1614.45,1625.5,1625.48,1636.51,1647.53,1658.56,1614.46,1603.43,1592.41
BEL,0,-1.11,123.9,119.5,120.05,121.15,122.8,125.55,127.2,118.4,116.75,114.0
BERGEPAINT,0,-0.2,678.75,669.05,675.65,674.48,679.91,684.18,689.61,670.21,664.78,660.51
BHARATFORG,0,-1.02,818.7,801.65,807.0,809.12,816.59,826.17,833.64,799.54,792.07,782.49
