symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
GRASIM,0,0.57,1784.4,1757.05,1777.85,1773.1,1789.15,1800.45,1816.5,1761.8,1745.75,1734.45
GUJGASLTD,0,-2.12,483.0,468.25,470.4,473.88,479.51,488.63,494.26,464.76,459.13,450.01
HAVELLS,0,-1.3,1323.9,1285.0,1290.7,1299.87,1314.74,1338.77,1353.64,1275.84,1260.97,1236.94
HCLTECH,0,-0.39,1124.5,1102.45,1110.55,1112.5,1122.55,1134.55,1144.6,1100.5,1090.45,1078.45
HDFCAMC,0,1.88,2350.0,2288.5,2325.75,2321.42,2354.34,2382.92,2415.84,2292.84,2259.92,2231.34
HDFCBANK,0,-0.94,1666.3,1627.15,1632.95,1642.13,1657.11,1681.28,1696.26,1617.96,1602.98,1578.81
HDFCLIFE,0,-0.13,677.5,669.75,671.7,672.98,676.21,680.73,683.96,668.46,665.23,660.71
HINDALCO,0,0.05,428.1,422.25,424.85,425.07,427.89,430.92,433.74,422.04,419.22,416.19
HINDCOPPER,0,0.59,120.7,117.65,119.55,119.3,120.95,122.35,124.0,117.9,116.25,114.85
HINDPETRO,0,-1.27,297.7,290.65,291.4,293.25,295.85,300.3,302.9,288.8,286.2,281.75
HINDUNILVR,0,-0.4,2704.95,2642.5,2673.65,2673.7,2704.9,2736.15,2767.35,2642.45,2611.25,2580.0
IBULHSGFIN,0,0.0,125.55,123.1,123.65,124.1,125.1,126.55,127.55,122.65,121.65,120.2
ICICIBANK,0,-0.06,951.15,941.25,944.4,945.6,949.95,955.5,959.85,940.05,935.7,930.15
ICICIGI,0,1.18,1366.7,1334.2,1362.3,1354.4,1374.6,1386.9,1407.1,1342.1,1321.9,1309.6
ICICIPRULI,0,0.48,601.95,594.5,597.1,597.85,601.2,605.3,608.65,593.75,590.4,586.3
IDFC,0,0.22,116.45,114.5,115.05,115.33,116.16,117.28,118.11,114.21,113.38,112.26
IDFCFIRSTB,0,0.36,84.4,82.85,83.1,83.45,84.05,85.0,85.6,82.5,81.9,80.95
IEX,0,-0.28,124.6,123.0,123.55,123.72,124.44,125.32,126.04,122.84,122.12,121.24
IGL,0,1.21,497.75,488.0,492.65,492.8,497.6,502.55,507.35,487.85,483.05,478.1
INDHOTEL,0,0.09,397.85,390.55,392.3,393.57,396.59,400.87,403.89,389.29,386.27,381.99
INDIACEM,0,-0.31,209.6,207.2,208.1,208.3,209.4,210.7,211.8,207.0,205.9,204.6
INDIAMART,0,0.61,2840.0,2772.0,2788.75,2800.25,2828.5,2868.25,2896.5,2760.5,2732.25,2692.5
INDIGO,0,0.81,2745.1,2705.15,2725.55,2725.27,2745.39,2765.22,2785.34,2705.44,2685.32,2665.49
INDUSINDBK,0,-0.69,1384.8,1351.0,1371.45,1369.08,1387.16,1402.88,1420.96,1353.36,1335.28,1319.56
INDUSTOWER,0,-0.49,166.45,163.3,164.1,164.62,165.94,167.77,169.09,162.79,161.47,159.64
INFY,0,-1.13,1351.9,1327.0,1333.3,1337.4,1347.8,1362.3,1372.7,1322.9,1312.5,1298.0
INTELLECT,0,-0.06,604.45,594.1,597.5,598.68,603.26,609.03,613.61,592.91,588.33,582.56
IOC,0,-0.2,99.35,97.7,97.9,98.32,98.94,99.97,100.59,97.29,96.67,95.64
IPCALAB,0,-0.05,772.0,758.4,764.9,765.1,771.8,778.7,785.4,758.2,751.5,744.6
IRCTC,0,0.27,622.45,615.1,620.7,619.42,623.74,626.77,631.09,616.39,612.07,609.04
ITC,0,-0.18,477.75,470.45,472.3,473.5,476.55,480.8,483.85,469.25,466.2,461.95
JINDALSTEL,0,-0.77,634.0,617.0,621.7,624.23,631.46,641.23,648.46,614.46,607.23,597.46
JSWSTEEL,0,1.04,814.8,788.65,805.7,803.05,817.45,829.2,843.6,791.3,776.9,765.15
JUBLFOOD,0,-0.07,484.95,479.0,479.8,481.25,483.5,487.2,489.45,477.55,475.3,471.6
KOTAKBANK,0,0.62,1890.9,1867.9,1878.1,1878.97,1890.04,1901.97,1913.04,1867.04,1855.97,1844.04
LALPATHLAB,0,-2.25,2454.1,2365.55,2381.05,2400.23,2434.91,2488.78,2523.46,2346.36,2311.68,2257.81
LAURUSLABS,0,-1.14,362.0,352.05,352.75,355.6,359.15,365.55,369.1,349.2,345.65,339.25
LICHSGFIN,0,-0.03,396.95,391.1,392.75,393.6,396.1,399.45,401.95,390.25,387.75,384.4
LT,0,-0.79,2485.95,2447.8,2454.95,2462.9,2478.0,2501.05,2516.15,2439.85,2424.75,2401.7
LUPIN,0,2.88,942.95,915.05,940.5,932.83,950.61,960.73,978.51,922.71,904.93,894.81
MANAPPURAM,0,-1.14,132.0,128.55,129.6,130.05,131.55,133.5,135.0,128.1,126.6,124.65
MARICO,0,1.17,539.0,531.5,537.75,536.08,540.66,543.58,548.16,533.16,528.58,525.66
MCDOWELL-N,0,0.41,939.5,918.75,929.15,929.13,939.51,949.88,960.26,918.76,908.38,898.01
MCX,0,1.5,1637.45,1583.0,1603.15,1607.87,1632.74,1662.32,1687.19,1578.29,1553.42,1523.84
METROPOLIS,0,-0.1,1458.45,1425.0,1449.45,1444.3,1463.6,1477.75,1497.05,1430.15,1410.85,1396.7
MFSL,0,1.17,831.85,817.1,828.75,825.9,834.7,840.65,849.45,819.95,811.15,805.2
MGL,0,0.14,1134.0,1105.4,1113.55,1117.65,1129.9,1146.25,1158.5,1101.3,1089.05,1072.7
MOTHERSON,0,0.81,94.3,92.6,93.15,93.35,94.1,95.05,95.8,92.4,91.65,90.7
MPHASIS,0,-0.25,1919.1,1889.5,1904.0,1904.2,1918.9,1933.8,1948.5,1889.3,1874.6,1859.7
MUTHOOTFIN,0,1.16,1290.75,1261.2,1285.65,1279.2,1297.2,1308.75,1326.75,1267.65,1249.65,1238.1
NATIONALUM,0,1.38,85.0,83.5,84.65,84.38,85.26,85.88,86.76,83.76,82.88,82.26
NMDC,0,3.33,112.15,108.1,111.6,110.62,113.14,114.67,117.19,109.09,106.57,105.04
NTPC,0,-0.83,194.75,190.25,190.8,191.93,193.61,196.43,198.11,189.11,187.43,184.61
OBEROIRLTY,0,-0.71,1041.0,1021.1,1033.6,1031.9,1042.7,1051.8,1062.6,1022.8,1012.0,1002.9
ONGC,0,1.85,169.0,165.25,167.65,167.3,169.35,171.05,173.1,165.6,163.55,161.85
PEL,0,3.33,977.9,936.05,969.15,961.03,986.01,1002.88,1027.86,944.16,919.18,902.31
PETRONET,0,-0.3,231.9,228.5,229.6,230.0,231.5,233.4,234.9,228.1,226.6,224.7
PFC,0,0.07,230.05,225.6,227.25,227.63,229.66,232.08,234.11,225.21,223.18,220.76
PIDILITIND,0,-0.62,2627.7,2551.5,2622.45,2600.55,2649.6,2676.75,2725.8,2573.4,2524.35,2497.2
PNB,0,1.57,61.7,60.45,61.4,61.18,61.91,62.43,63.16,60.66,59.93,59.41
POWERGRID,0,-0.57,254.75,251.15,252.05,252.65,254.15,256.25,257.75,250.55,249.05,246.95
PVRINOX,0,-0.41,1473.7,1415.3,1420.55,1436.52,1457.74,1494.92,1516.14,1399.34,1378.12,1340.94
RAIN,0,-0.18,168.95,165.3,166.15,166.8,168.3,170.45,171.95,164.65,163.15,161.0
RAMCOCEM,0,-0.97,939.4,920.55,925.35,928.43,936.31,947.28,955.16,917.46,909.58,898.61
RBLBANK,0,1.7,199.8,191.85,197.2,196.28,200.71,204.23,208.66,192.76,188.33,184.81
RECLTD,0,-0.24,170.45,168.0,169.0,169.15,170.3,171.6,172.75,167.85,166.7,165.4
RELIANCE,0,0.11,2802.0,2761.65,2767.75,2777.13,2792.61,2817.48,2832.96,2752.26,2736.78,2711.91
SAIL,0,-0.44,90.75,89.25,89.6,89.87,90.49,91.37,91.99,88.99,88.37,87.49
SBICARD,0,0.43,844.95,824.0,837.85,835.6,847.2,856.55,868.15,826.25,814.65,805.3
SBILIFE,0,0.43,1306.6,1291.0,1300.6,1299.4,1307.8,1315.0,1323.4,1292.2,1283.8,1276.6
SBIN,0,0.12,594.5,588.2,589.25,590.65,593.1,596.95,599.4,586.8,584.35,580.5
SHRIRAMFIN,0,2.54,1817.95,1759.7,1805.5,1794.38,1829.06,1852.63,1887.31,1770.81,1736.13,1712.56
