symbol,flag,percent_return,prev_high,prev_low,prev_close,PIVOT,RES1,RES2,RES3,SUP1,SUP2,SUP3
BSOFT,1,4.92,381.0,362.6,379.7,374.43,386.26,392.83,404.66,367.86,356.03,349.46
INTELLECT,1,5.77,644.5,608.05,640.85,631.13,654.21,667.58,690.66,617.76,594.68,581.31
MPHASIS,1,7.67,2079.0,1935.0,2069.55,2027.85,2120.7,2171.85,2264.7,1976.7,1883.85,1832.7
NATIONALUM,1,5.62,89.6,85.15,89.3,88.02,90.89,92.47,95.34,86.44,83.57,81.99
RBLBANK,1,6.95,213.45,197.85,211.6,207.63,217.41,223.23,233.01,201.81,192.03,186.21
ZEEL,1,8.6,217.4,196.1,216.0,209.83,223.56,231.13,244.86,202.26,188.53,180.96
